Date,btc_open,btc_high,btc_low,btc_close,btc_volume,btc_currency_volume,btc_market_price,btc_numtransactions,btc_antpoolhashrate,btc_blocksize,dowjones_close,nasdaq_close,senti_btc,senti_other,senti_joined,btc_market_price_shift1
2018-05-05 00:00:00,9689.0,9775.99,9670.68,9747.39,188.36,1832259.22,9727.54,4666.0,0.0,944469.0,0.0,0.0,0.0,0.0,0.0,9756.77
2018-05-05 01:00:00,9745.88,9796.31,9705.69,9793.1,492.23,4802596.91,9756.77,8069.0,8.90306277900558e+17,957258.0,0.0,0.0,0.0,0.0,0.0,9826.74
2018-05-05 02:00:00,9793.1,9868.43,9780.65,9822.28,616.49,6058115.75,9826.74,13354.0,1.16484239447772e+19,522739.5714285714,0.0,0.0,0.0,0.0,0.0,9813.33
2018-05-05 03:00:00,9822.28,9836.98,9785.6,9815.37,219.36,2152676.9,9813.33,7219.0,6.61102667818773e+18,827769.0,0.0,0.0,0.0,0.0,0.0,9832.89
2018-05-05 04:00:00,9816.09,9867.14,9800.01,9826.44,227.93,2241250.03,9832.89,6511.0,9.11108265300872e+18,473998.0,0.0,0.0,0.0,0.0,0.0,9807.92
2018-05-05 05:00:00,9835.0,9835.44,9782.5,9803.5,134.73,1321418.23,9807.92,5111.0,9.11108265300872e+18,692317.75,0.0,0.0,0.0,0.0,0.0,9778.09
2018-05-05 06:00:00,9808.34,9814.0,9755.53,9758.6,269.79,2638013.76,9778.09,7567.0,3.6521379936796e+18,752358.2,0.0,0.0,0.0,0.0,0.0,9780.04
2018-05-05 07:00:00,9762.58,9797.0,9755.53,9778.42,151.38,1480535.04,9780.04,7169.0,2.85389273254659e+18,398048.88888888893,0.0,0.0,0.0,0.0,0.0,9806.56
2018-05-05 08:00:00,9778.21,9847.0,9775.3,9809.79,179.84,1763584.24,9806.56,7595.0,1.21140341585586e+19,752790.3333333335,0.0,0.0,0.0,0.0,0.0,9826.84
2018-05-05 09:00:00,9809.79,9850.45,9799.2,9819.43,201.63,1981368.46,9826.84,9697.0,7.60661061651454e+18,419404.8181818182,0.0,0.0,0.0,0.0,0.0,9899.67
2018-05-05 10:00:00,9819.43,9943.12,9819.42,9908.29,580.06,5742422.05,9899.67,8218.0,7.60661061651454e+18,629775.6666666665,0.0,0.0,0.0,0.0,0.0,9868.62
2018-05-05 11:00:00,9907.34,9923.95,9829.09,9863.08,315.65,3115018.31,9868.62,9070.0,7.60661061651454e+18,852395.4,0.0,0.0,0.0,0.0,0.0,9900.43
2018-05-05 12:00:00,9863.07,9940.0,9858.0,9905.8,272.7,2699863.78,9900.43,9959.0,5.27415409427169e+18,585082.5454545454,0.0,0.0,0.0,0.0,0.0,9918.71
2018-05-05 13:00:00,9905.8,9948.98,9855.97,9860.29,268.7,2665205.9,9918.71,10228.0,5.27415409427169e+18,940756.6666666665,0.0,0.0,0.0,0.0,0.0,9913.44
