Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd,dowjones_close,nasdaq_close,senti_btc,senti_other,senti_joined,btc_market_price_shift1
2016-06-03,568.0,15617000.0,8870456000.0,60092817.477,70647.10506300002,0.8325584436619718,0.0,1652.5985915492959,9.633333333333333,1406915.6396715043,199312067531.0,2047467.65164072,54.69656979,1.2605562340652552,8.72491744389212,402066.0,234669.0,133374642,194724.0,139490.0,1938990.17388676,285960.79035403,162425728.92108902,17807.0605,4942.52,0.0,0.0,0.0,573.74
2016-06-04,573.74,15619975.0,8961804456.5,45168189.7968,70747.13122800003,0.8405560084033614,0.0,1652.6470588235293,10.616666666666667,1179034.9374711902,199312067531.0,1733523.115793347,46.44371282,1.2910886553648722,8.814599017584962,368869.0,196665.0,133571307,185874.0,119944.0,1493595.27664076,234022.94646963,134268325.30748552,17807.0605,4942.52,0.0,0.0,0.0,574.02
2016-06-05,574.02,15624225.0,8968617634.5,30675648.696,70852.03775600003,0.6134884678362573,1.0,1120.7529411764706,6.533333333333332,1694243.4815762478,199312067531.0,2479401.390095928,44.3641164,1.771689663714087,13.01331767559586,368586.0,190528.0,133761835,218423.0,119034.0,1835595.21508521,243799.13733566,139945580.81341556,17807.0605,4942.52,0.0,0.0,0.0,584.5
2016-06-06,584.5,15628475.0,9134843637.5,34509545.46349999,70971.96546300003,0.7054571,0.0,1301.0058823529412,6.5166666666666675,1684335.6249588432,199312067531.0,2514600.57566067,52.13956486,1.4114180959677691,11.36948594372983,414350.0,221171.0,133983006,245115.0,134016.0,1964198.1842534,304809.72131154,178161282.10659513,17920.3301,4968.71,0.0,0.0,0.0,577.54
2016-06-07,577.54,15631975.0,9028090841.5,47316934.322,71085.94939700003,0.8027037605633803,2.0,1775.5428571428574,9.933333333333334,1406915.6396715043,199312067531.0,2169535.061695136,56.5104784,1.044423085277058,8.727854103755535,424994.0,248576.0,134231582,227022.0,141572.0,2321510.89889659,359673.25228200003,207725690.12294623,17938.2793,4961.75,0.0,0.0,0.0,578.68
2016-06-08,578.68,15635575.0,9047994541.0,28300189.1564,71201.47196100003,0.8022400277777778,0.0,1596.7569444444446,7.916666666666668,1403462.3397086607,196422606560.3333,2112419.154469783,50.40981971,1.1807550318989934,9.187107350705563,401953.0,229933.0,134461515,232571.0,136723.0,2004179.70546409,309158.94669863,178904099.27556318,18005.0508,4974.6401,0.0,0.0,0.0,575.2941375
2016-06-09,575.2941375,15639700.0,9023950503.0,30222288.21436469,71320.37444100004,0.7206210909090909,0.0,1432.4424242424245,7.083333333333332,1608133.9309161738,196061423939.0,2410788.566820635,53.21550949,1.1376425321491694,10.199949088103962,426447.0,236353.0,134697868,225233.0,138846.0,2095207.93460922,367269.62920389,211910903.35435247,17985.1895,4958.6201,0.0,0.0,0.0,577.549875
2016-06-10,577.549875,15643300.0,9064666618.0,24377615.46943378,71438.83640700004,0.8226525416666667,0.0,1585.8819444444446,8.683333333333334,1403462.3397086607,196061423939.0,2116658.574865336,52.81223012,0.9542887365316688,9.268670932601188,407301.0,228367.0,134926235,213159.0,134850.0,2301811.95545437,382778.51244436,221804836.8210089,17865.3398,4894.5498,0.0,0.0,0.0,594.4399875
2016-06-11,594.4399875,15647200.0,9376115184.0,24538115.328435715,71547.43125200004,0.6961208012820513,0.0,1366.4038461538462,7.61,1520417.5346843828,196061423939.0,2364669.1043396317,46.24529278,1.4378545367429718,11.093451856781238,374995.0,213159.0,135139394,210711.0,125845.0,1894576.3445866,274453.72198213,164458159.28613195,17865.3398,4894.5498,0.0,0.0,0.0,664.8465
2016-06-12,664.8465,15650850.0,10428630880.5,143472595.47502628,71668.61819200004,0.8300475342465754,0.0,1443.2260273972602,8.25,1422954.8722046143,196061423939.0,2467036.7309702667,52.42482099,0.8252611328141537,11.708153494455754,411623.0,210711.0,135350105,250025.0,131022.0,2831538.69084227,448636.76159868,298940133.35604846,17865.3398,4894.5498,0.0,0.0,0.0,702.0665
2016-06-13,702.0665,15654875.0,11010699782.5,146971122.83886617,71816.03023500004,0.9156027515527952,0.0,1561.2049689440994,9.7,1569148.8659242669,196061423939.2503,2830943.5,38.86224972,1.4759759257893328,11.371519350072267,451922.0,251354.0,135601459,244898.0,153912.0,2757346.67011431,275333.91153021,193653353.33565792,17732.4805,4848.4399,0.0,0.0,0.0,685.2418749999998
2016-06-14,685.2418749999998,15658175.0,10717864205.75,84746672.71063487,71943.11651700005,0.955535954887218,1.0,1861.8947368421047,12.92,1296253.4109809159,196061423939.0,2277298.23,69.86384675,0.9317350551378648,9.383885582081103,420352.0,247632.0,135849091,259223.0,155918.0,2362492.05777511,364359.35602398,249400335.60485408,17674.8203,4843.5498,0.0,0.0,0.0,692.289625
2016-06-15,692.289625,15661975.0,10889771217.5,48065817.39402929,72084.51966300004,0.9182022467532468,3.0,1704.6103896103893,14.13,1500925.0021884288,196061423939.0,2681772.1,84.56662361,1.1710588918324338,10.421333181197033,445830.0,262510.0,136111601,264818.0,161206.0,2323706.83883406,335983.66837498,233609444.6211236,17640.1699,4834.9302,0.0,0.0,0.0,762.43005
2016-06-16,762.43005,15665700.0,12027967803.0,169439516.67623803,72227.21751700004,0.9577037181208056,0.0,1797.7852348993285,9.66,1452193.6709485447,196061423939.0,2863856.7,82.29665972,0.6738165686168085,10.912772249100009,471278.0,267870.0,136379471,250957.0,159839.0,2796295.7202941,565034.58612416,433827904.8802688,17733.0996,4844.9199,0.0,0.0,0.0,743.9164
2016-06-17,743.9164,15669425.0,11680772866.25,128874495.58119592,72365.89982400004,0.9307537382550336,0.0,1703.03355704698,9.3,1452193.6709485447,196061423939.0,2779037.6,78.90209509,0.9113642635431544,11.174764402979449,453509.0,253752.0,136633223,234224.0,151699.0,2774465.08796198,417385.47880969,311140005.1786834,17675.1602,4800.3398,0.0,0.0,0.0,754.36625
2016-06-18,754.36625,15673375.0,11881985587.5,85041797.51949082,72503.99894400004,0.8685479245283019,1.0,1486.1069182389938,7.75,1549656.3334283128,196061423939.0,3016479.9,70.82066566,1.4763256340227224,12.980336308352186,423334.0,236291.0,136869514,215883.0,142049.0,2345533.81650886,274046.63120533,207754751.1167607,17675.1602,4800.3398,0.0,0.0,0.0,760.8168
2016-06-19,760.8168,15677800.0,12010449024.0,40868096.624824494,72631.98898300003,0.7231075649717514,0.0,1233.322033898305,6.0,1725089.1258918957,196061423939.0,3392968.3200000008,63.14349102,2.225831715076108,15.750382347069609,414283.0,218298.0,137087812,247342.0,123417.0,2011496.98884978,201638.94065399,154471559.65620866,17675.1602,4800.3398,0.0,0.0,0.0,729.1925857142858
2016-06-20,729.1925857142858,15681900.0,11665765410.0,36207387.18440518,72759.95699000004,0.7802927256097559,0.0,1520.3292682926829,8.6,1598387.6646681966,196061423939.0,3057429.0,76.7711358,1.4289208957651651,12.46159788846134,465928.0,249334.0,137337146,245266.0,144369.0,2647568.48398107,292302.47441818,217443810.7196841,17804.8691,4837.21,0.0,0.0,0.0,665.9586125
2016-06-21,665.9586125,15685625.0,10539955718.75,149642818.36535102,72896.27858100004,0.9149100067114094,0.0,1665.5302013422818,9.566666666666666,1551383.975291719,206307449112.04694,2506373.5,76.28917579,0.8132629045475942,10.292694595799919,468641.0,248164.0,137585310,232368.0,147905.0,2849547.25253714,467412.09448187,314077556.88709265,17829.7305,4843.7598,0.0,0.0,0.0,587.4542375
2016-06-22,587.4542375,15688850.0,9256421500.0,106868002.09824032,73018.26663200003,0.9456438062015504,0.0,1826.6744186046512,12.633333333333333,1343144.5155210185,209453158595.0,1909240.0,78.85018659,0.6772372877054256,8.272209038699122,422909.0,235641.0,137820951,237794.0,139234.0,2712263.67560064,487842.3333399,287826976.670541,17780.8301,4833.3198,0.0,0.0,0.0,624.5419999999999
2016-06-23,624.5419999999999,15692350.0,9820115706.5,145480129.31644726,73147.03805200003,0.9197958571428572,0.0,1723.571428571429,9.783333333333333,1457676.2183949037,209453158595.0,2193393.95,75.30395381,0.7339533124768403,9.272231501262993,431633.0,241300.0,138062251,235758.0,146675.0,3159340.64339527,487129.61615291,304840842.49232954,18011.0703,4910.04,0.0,0.0,0.0,660.60465
2016-06-24,660.60465,15695575.0,10357666898.25,117308802.54754122,73269.64130700003,0.9431019615384616,1.0,1837.6,11.25,1353556.4885095535,209453158595.0,2149986.78,74.41897823,0.9998700251140564,9.18345554370148,437104.0,238888.0,138301139,208260.0,147618.0,2799621.35999449,332485.11253758,219410250.6146744,17400.75,4707.98,0.0,0.0,0.0,664.9068875
2016-06-25,664.9068875,15699625.0,10441035606.25,64948673.82899656,73402.01624500004,0.7974393855421686,4.0,1271.0722891566265,7.783333333333332,1728387.5160968143,209453158595.0,2760622.55,62.41393404,1.8017620842697484,13.277215361440875,409197.0,210998.0,138512137,181319.0,129061.0,2173917.10954595,233794.12691700002,155484784.10615084,17400.75,4707.98,0.0,0.0,0.0,627.3926125
2016-06-26,627.3926125,15703275.0,9815960169.75,50909007.76377704,73514.29014600001,0.7637680340136054,0.0,1250.0340136054422,7.05,1530560.0293146488,209453158595.0,2297205.75,55.03999378,1.4407186669845269,12.688692551015976,388840.0,183755.0,138695892,214892.0,116208.0,1821174.88604755,258901.34411787,161836641.19463935,17400.75,4707.98,0.0,0.0,0.0,646.7030125
2016-06-27,646.7030125,15706950.0,10188941395.5,59731341.43290912,73628.53964400003,0.7772074693877551,0.0,1476.3877551020407,8.916666666666666,1530560.0293146488,209453158595.0,2386530.51,61.78464957,1.1791990527883212,11.169082631028866,379861.0,217029.0,138912921,210637.0,138747.0,2170091.79897419,316891.76146589,205564516.7453082,17140.2402,4594.4399,0.0,0.0,0.0,646.378475
2016-06-28,646.378475,15710650.0,10196368956.5,55881769.63124494,73742.01551300003,0.7615830134228189,1.0,1429.9194630872482,8.7,1551383.975291719,209453158595.0,2418860.27,58.50652455,1.1992960688249663,11.525188303176579,428929.0,213058.0,139125979,220971.0,139973.0,1867643.40658525,315477.27228498,204747904.4856749,17409.7207,4691.8701,0.0,0.0,0.0,637.959625
